XP_003710072.1	1229	Chitin_synth_2	6.5e-293	2	527	660	1184	659	1184	chitin synthase 4  variant [Pyricularia oryzae 70-15]
XP_003710073.1	1229	Chitin_synth_2	6.5e-293	2	527	660	1184	659	1184	chitin synthase 4 [Pyricularia oryzae 70-15]
XP_029748756.1	1238	Chitin_synth_2	1.7e-292	3	527	670	1193	668	1193	hypothetical protein PpBr36_07741  partial [Pyricularia pennisetigena]
XP_030983151.1	1230	Chitin_synth_2	2.7e-292	2	527	661	1185	660	1185	hypothetical protein PgNI_06376 [Pyricularia grisea]
XP_007918278.1	1110	Chitin_synth_2	5.8e-290	3	527	545	1068	543	1068	putative chitin synthase 4 protein [Phaeoacremonium minimum UCRPA7]
XP_053038099.1	1109	Chitin_synth_2	2.1e-289	3	527	548	1071	546	1071	Chitin synthase 4 [Colletotrichum chrysophilum]
XP_031890394.1	1212	Chitin_synth_2	2.6e-289	3	527	651	1174	649	1174	Chitin synthase 4 [Colletotrichum fructicola]
XP_036501851.1	1231	Chitin_synth_2	2.7e-289	3	527	670	1193	668	1193	Chitin synthase 4 [Colletotrichum siamense]
XP_037184595.1	1231	Chitin_synth_2	2.7e-289	3	527	670	1193	668	1193	Chitin synthase 4 [Colletotrichum aenigma]
XP_045263966.1	1231	Chitin_synth_2	2.8e-289	3	527	670	1193	668	1193	Chitin synthase 4 [Colletotrichum gloeosporioides]
XP_035341374.1	1464	Chitin_synth_2	2.9e-289	3	527	908	1431	906	1431	uncharacterized protein TRUGW13939_02287 [Talaromyces rugulosus]
XP_049124233.1	1224	Chitin_synth_2	5.2e-289	3	527	664	1187	662	1187	chitin synthase 4 [Colletotrichum spaethianum]
XP_049110274.1	1205	Chitin_synth_2	7.3e-289	3	527	651	1174	649	1174	Chitin synthase  class 3 [Ophidiomyces ophidiicola]
XP_003652182.1	1220	Chitin_synth_2	7.4e-289	3	527	664	1187	662	1187	glycosyltransferase family 2 protein [Thermothielavioides terrestris NRRL 8126]
XP_060420618.1	1224	Chitin_synth_2	1.1e-288	3	527	664	1187	662	1187	chitin synthase [Colletotrichum navitas]
XP_041414059.1	1632	Chitin_synth_2	1.2e-288	2	527	807	1331	806	1331	putative chitin synthase 5 (csh5) [Ustilago hordei]
XP_014657466.1	1614	Chitin_synth_2	1.3e-288	2	527	776	1300	775	1300	chitin synthase 5 [Moesziomyces antarcticus]
XP_011389165.1	1609	Chitin_synth_2	1.9e-288	2	527	775	1299	774	1299	chitin synthase 5 (csh5) [Ustilago maydis 521]
XP_018164302.1	1224	Chitin_synth_2	2.7e-288	3	527	664	1187	662	1187	Chitin synthase 4 [Colletotrichum higginsianum IMI 349063]
NP_009579.1	1165	Chitin_synth_2	2.8e-288	2	527	629	1151	628	1151	chitin synthase CHS3 [Saccharomyces cerevisiae S288C]
XP_002849676.1	1200	Chitin_synth_2	4e-288	3	527	643	1166	641	1166	chitin synthase D [Microsporum canis CBS 113480]
